product,version
anyconnect_secure_mobility_client,4.9.05042
anyconnect_secure_mobility_client,4.9.06037
anythingllm,*
anythingllm,1.0.0
anythingllm,1.2.1
anythingllm,2024-01-18
anythingllm_desktop,1.4.2
anythingllm_webapp,1.2.0
ap1300,-
ap1300_firmware,3.217
apa_banner_slider,*
apa_register_newsletter_form,*
apache-airflow-providers-fab,1.2.0
apache-airflow-providers-fab,1.2.1
apex,1.39.9
apex,1.41.3
apex,1.42.2
apex_one,14.0.0.12980
apex_one,14.0.13139
apex_protection_storage,-
api_mediation_layer,1.28.8
api_mediation_layer,2.17.0
api_mediation_layer,2.18.0
apktool,2.9.2
apktool,2.9.3
apm_server,8.12.1
apm_server,8.14.0
apollo,2.2.0
apollo,2.3.0
apollo-router,1.52.1
apollo13_framework_extensions,*
apollo_client,0.7.0
apollo_gateway,2.8.5
apollo_helms-charts_router,1.52.1
apollo_query-planner,2.8.5
apollo_router,1.52.1
app_builder,*
app_builder,4.3.4
app_connect_enterprise,11.0.0.1
app_connect_enterprise,12.0.1.0
app_installer,1.22.11261.0
app_store,9.0.17
apple_tv,1.5.0.152
application_automation_tools,*
application_automation_tools,24.1.0
application_express,23.2
application_express,24.1
application_interface_framework,702
application_object_library,12.2.3
application_object_library,12.2.6
applications_framework,12.2.9
applications_technology_stack,12.2.3
appointmind,4.1.0
appsmith,1.46
appwrite,*
apq5053-aa,-
apq5053-aa_firmware,-
apq8017,-
apq8017_firmware,-
apq8037,-
apq8037_firmware,-
apq8053-aa,-
apq8053-aa_firmware,-
apq8053-ac,-
apq8053-ac_firmware,-
apq8064au,-
apq8064au_firmware,-
aptio_v_uefi_firmware_integrator_tools,5.05.04.0008
aptio_v_uefi_firmware_integrator_tools,5.13.00.2106
aptio_v_uefi_firmware_integrator_tools,5.13.00.2109
aptio_v_uefi_firmware_integrator_tools,5.27.06.0019
aqt1000,-
aqt1000_firmware,-
aqua,2024.1.2
ar,*
ar2140,-
ar2140_firmware,4.2.16
ar300m,-
ar300m16,-
ar300m16_firmware,4.3.10
ar300m16_firmware,4.3.11
ar300m_firmware,4.3.10
ar300m_firmware,4.3.11
ar750,-
ar750_firmware,4.3.10
ar750_firmware,4.3.11
ar750s,-
ar750s_firmware,4.3.10
ar750s_firmware,4.3.11
ar8031,-
ar8031_firmware,-
ar8035,-
ar8035_firmware,-
ar9380,-
ar9380_firmware,-
arc_a_graphics,31.0.101.4824
archer,2024.08
archer,2024.09
archer_ax3000,1.0
archer_ax3000_firmware,1.1.2
archer_ax5400,1.0
archer_ax5400_firmware,1.1.2
archer_axe75,1.0
archer_axe75_firmware,1.1.9
archiver,15.7
arconix_shortcodes,2.1.13
arconix_shortcodes,2.1.14
arcsight_intelligence,6.4.13
arcsight_management_center,3.2.5
arcsight_platform,24.2.2
arena,*
arena,16.00.00
arena,16.20.03
arfa-cms,5.1.3124
arfa-cms,5.1.3132
arforms,6.4.1
argo-cd,2.7.16
argo_cd,2.10.0
argo_cd,2.10.12
argo_cd,2.11.3
argo_cd,2.8.8
argo_cd,2.9.17
argo_cd,2.9.4
argo_workflows,3.6.0
aria_operations_for_networks,6.0.0
aries_cloud_agent,0.10.5
aries_cloud_agent,0.11.0
armember,*
arris_surfboard_sbg6950ac2,-
arris_surfboard_sbg6950ac2_firmware,-
artemis_java_test_sandbox,1.11.2
artemis_java_test_sandbox,1.7.6
artemis_java_test_sandbox,1.8.0
arubaos,10.4.1.2
arubaos,10.4.1.4
arubaos,10.6.0.0
arubaos,10.6.0.1
asgaros_forum,2.8.0
asp.net_core,6.0.27
asp.net_core,7.0.16
asp.net_core,8.0.2
aspect-ent-12,-
aspect-ent-12_firmware,*
aspect-ent-2,-
aspect-ent-256,-
aspect-ent-256_firmware,*
aspect-ent-2_firmware,*
aspect-ent-96,-
aspect-ent-96_firmware,*
aspnetcore.utilities.cloudstorage,8.0.0
asset_cleanup,1.3.9.4
assimp,5.4.3
assistant,9.1.00.7
asterisk,18.24.2
asterisk,20.9.1
asterisk,21.4.0
astra_widgets,1.2.15
ata_191,-
ata_191_firmware,11.2.5
ata_191_firmware,12.0.2
ata_192,-
ata_192_firmware,11.2.5
atmail,6.3.0
atmail,6.6.0
atp,-
atp100,-
atp100w,-
atp200,-
atp500,-
atp700,-
atp800,-
atropim,1.8.4
attendance_and_payroll_system,1.0
attendance_tracking_management_system,1.0
attire_blocks,1.9.3
attributes_for_blocks,1.0.7
audimexee,15.1.2
audiobookshelf,2.13.0
audit_vault_and_database_firewall,20.1
audited,5.3.3
audition,*
audition,23.6.4
audition,24.0
audition,24.1
audition,24.2
audition,24.6.3
aura_system_manager,10.1
aura_system_manager,10.2
aurora_r16,-
aurora_r16_firmware,2.7.0
austin,1.0
authentication_library,*
authentication_library,1.15.1
authentication_library,4.61.3
authenticator,6.2401.0617
authenticator,8.0.0
authentik,2023.10.6
authentik,2023.10.7
authentik,2023.8.6
authentik,2023.8.7
authlib,1.3.1
author_discussion,*
authorization_gateway,4.1.4.9
authorization_gateway,4.1.5.10
authorization_gateway,4.1.6.11
authorization_gateway,4.2.1.6
authorization_gateway,4.2.2.8
authorization_gateway,4.2.3.4
authorization_gateway,4.3.1.0
authy,26.1.0
authy_authenticator,25.1.0
auto-featured-image,*
auto_amazon_links,5.4.3
auto_coupons_for_woocommerce,3.0.15
auto_listings,2.6.6
autocad,2024.1.6
autocad,2025
autocad,2025.1.1
autocad_advance_steel,2024.1.6
autocad_advance_steel,2025.1.1
autocad_architecture,2024.1.6
autocad_architecture,2025
autocad_architecture,2025.1.1
autocad_civil_3d,2024.1.6
autocad_civil_3d,2025.1.1
autocad_electrical,2024.1.6
autocad_electrical,2025
autocad_electrical,2025.1.1
autocad_lt,2025.1.1
autocad_mechanical,2024.1.6
autocad_mechanical,2025
autocad_mechanical,2025.1.1
